2023-08-01/15:15:02		Entered Inside the Create table db method inside the db operations class 
2023-08-01/15:21:32		Entered Inside the Create table db method inside the db operations class 
2023-08-01/15:21:34		Deleted the Existing table Good_RAW_Data
2023-08-01/15:21:35		Created the table inside the database.Query executed successfully
2023-08-01/15:21:36		Altered the table in the database.training
2023-08-01/15:23:46		Entered Inside the Create table db method inside the db operations class 
2023-08-01/15:23:50		Deleted the Existing table Good_RAW_Data
2023-08-01/15:23:50		Created the table inside the database.Query executed successfully
2023-08-01/15:23:50		Altered the table in the database.training
2023-08-01/15:27:55		Entered Inside the Create table db method inside the db operations class 
2023-08-01/15:27:58		Deleted the Existing table Good_RAW_Data
2023-08-01/15:27:58		Created the table inside the database.Query executed successfully
2023-08-01/15:27:58		Altered the table in the database.training
2023-08-01/15:49:39		Entered Inside the Create table db method inside the db operations class 
2023-08-01/15:49:41		Deleted the Existing table Good_RAW_Data
2023-08-01/15:49:41		Created the table inside the database.Query executed successfully
2023-08-01/15:49:41		Altered the table in the database.training
2023-08-01/16:04:58		Entered Inside the Create table db method inside the db operations class 
2023-08-01/16:05:01		Deleted the Existing table Good_RAW_Data
2023-08-01/16:05:01		Created the table inside the database.Query executed successfully
2023-08-01/16:05:01		Altered the table in the database.training
2023-08-01/17:16:58		Entered Inside the Create table db method inside the db operations class 
2023-08-01/17:17:09		Deleted the Existing table Good_RAW_Data
2023-08-01/17:17:16		Created the table inside the database.Query executed successfully
2023-08-01/17:17:20		Altered the table in the database.training
2023-08-01/17:18:49		Entered Inside the Create table db method inside the db operations class 
2023-08-01/17:18:49		Deleted the Existing table Good_RAW_Data
2023-08-01/17:18:49		Created the table inside the database.Query executed successfully
2023-08-01/17:18:49		Altered the table in the database.training
2023-08-01/18:55:36		Entered Inside the Create table db method inside the db operations class 
2023-08-01/18:55:41		Deleted the Existing table Good_RAW_Data
2023-08-01/18:55:41		Created the table inside the database.Query executed successfully
2023-08-01/18:55:41		Altered the table in the database.training
2023-08-01/18:58:26		Entered Inside the Create table db method inside the db operations class 
2023-08-01/18:58:27		Deleted the Existing table Good_RAW_Data
2023-08-01/18:58:27		Created the table inside the database.Query executed successfully
2023-08-01/18:58:27		Altered the table in the database.training
2023-08-01/19:05:58		Entered Inside the Create table db method inside the db operations class 
2023-08-01/19:05:59		Deleted the Existing table Good_RAW_Data
2023-08-01/19:05:59		Created the table inside the database.Query executed successfully
2023-08-01/19:05:59		Altered the table in the database.training
2023-08-01/21:31:32		Entered Inside the Create table db method inside the db operations class 
2023-08-01/21:31:34		Deleted the Existing table Good_RAW_Data
2023-08-01/21:31:34		Created the table inside the database.Query executed successfully
2023-08-01/21:31:34		Altered the table in the database.training
2023-08-01/21:47:56		Entered Inside the Create table db method inside the db operations class 
2023-08-01/21:47:57		Deleted the Existing table Good_RAW_Data
2023-08-01/21:47:57		Created the table inside the database.Query executed successfully
2023-08-01/21:47:57		Altered the table in the database.training
2023-08-01/22:02:52		Entered Inside the Create table db method inside the db operations class 
2023-08-01/22:02:53		Deleted the Existing table Good_RAW_Data
2023-08-01/22:02:53		Created the table inside the database.Query executed successfully!!
2023-08-01/22:02:53		Exception occurred while creating table I/O operation on closed file.
2023-08-01/22:06:26		Entered Inside the Create table db method inside the db operations class 
2023-08-01/22:06:28		Deleted the Existing table Good_RAW_Data
2023-08-01/22:06:28		Created the table inside the database.Query executed successfully!!
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:28		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:29		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:30		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:31		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:32		Altered the table in the database.training
2023-08-01/22:06:33		Altered the table in the database.training
2023-08-01/22:06:33		Altered the table in the database.training
2023-08-01/22:06:33		Altered the table in the database.training
2023-08-01/22:06:33		Altered the table in the database.training
2023-08-01/22:06:33		Altered the table in the database.training
2023-08-01/22:06:33		Altered the table in the database.training
2023-08-01/22:06:33		Altered the table in the database.training
2023-08-01/22:06:33		Altered the table in the database.training
2023-08-01/22:06:33		Altered the table in the database.training
