2023-08-01/13:09:28		Data Transformation failed: 'wafer' 
2023-08-01/13:30:53		Data Transformation failed: 'wafer' 
2023-08-01/13:38:09		Data Transformation failed: 'wafer' 
2023-08-01/14:05:40		Data Transformation failed: 'wafer' 
2023-08-01/15:15:02		Data Transformation failed: 'wafer' 
2023-08-01/15:21:32		Data Transformation failed: 'wafer' 
2023-08-01/15:23:46		Data Transformation failed: 'wafer' 
2023-08-01/15:27:55		Data Transformation failed: 'wafer' 
2023-08-01/15:49:39		Data Transformation failed: 'wafer' 
2023-08-01/16:04:51		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/16:04:52		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/16:04:54		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/16:04:54		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/16:04:55		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/16:04:56		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/16:04:56		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/16:04:57		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/16:04:58		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/16:04:58		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/16:32:02		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/16:32:02		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/16:32:03		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/16:32:03		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/16:32:04		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/16:32:04		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/16:32:04		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/16:32:05		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/16:32:06		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/16:32:06		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/16:42:11		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/16:42:11		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/16:42:12		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/16:42:12		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/16:42:13		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/16:42:13		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/16:42:13		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/16:42:14		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/16:42:15		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/16:42:15		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/16:54:52		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/16:54:52		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/16:54:53		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/16:54:53		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/16:54:54		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/16:54:54		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/16:54:55		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/16:54:55		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/16:54:56		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/16:54:56		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/17:00:50		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/17:00:51		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/17:00:51		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/17:00:52		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/17:00:52		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/17:00:52		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/17:00:53		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/17:00:53		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/17:00:54		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/17:00:54		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/17:03:57		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/17:03:58		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/17:03:59		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/17:03:59		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/17:04:00		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/17:04:01		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/17:04:01		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/17:04:02		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/17:04:02		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/17:04:03		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/17:16:39		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/17:16:39		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/17:16:41		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/17:16:41		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/17:16:42		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/17:16:42		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/17:16:43		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/17:16:44		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/17:16:44		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/17:16:45		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/17:18:45		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/17:18:45		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/17:18:46		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/17:18:46		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/17:18:47		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/17:18:47		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/17:18:47		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/17:18:48		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/17:18:49		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/17:18:49		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/18:19:00		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:19:00		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/18:19:01		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/18:19:01		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/18:19:02		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/18:19:02		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/18:19:03		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/18:19:03		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:19:04		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/18:19:04		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/18:20:36		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:20:37		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/18:20:37		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/18:20:37		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/18:20:38		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/18:20:38		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/18:20:38		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/18:20:39		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:20:40		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/18:20:40		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/18:23:26		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:23:26		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/18:23:27		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/18:23:27		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/18:23:27		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/18:23:28		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/18:23:28		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/18:23:29		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:23:30		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/18:23:30		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/18:26:34		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:26:35		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/18:26:35		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/18:26:36		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/18:26:36		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/18:26:37		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/18:26:37		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/18:26:38		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:26:38		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/18:26:39		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/18:32:27		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:32:27		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/18:32:28		wafer_17012020_125434.csv: File Transformed succesfully!!
2023-08-01/18:32:28		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/18:32:29		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/18:32:29		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/18:32:30		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/18:32:30		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:32:31		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/18:32:31		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/18:54:23		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:54:24		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/18:54:24		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/18:54:24		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/18:54:25		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/18:54:25		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/18:54:26		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:54:27		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/18:54:27		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/18:55:32		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:55:33		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/18:55:33		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/18:55:33		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/18:55:34		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/18:55:34		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/18:55:35		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:55:36		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/18:55:36		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/18:58:23		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:58:23		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/18:58:24		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/18:58:24		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/18:58:25		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/18:58:25		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/18:58:26		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/18:58:26		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/18:58:26		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/19:05:55		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/19:05:55		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/19:05:55		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/19:05:56		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/19:05:56		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/19:05:56		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/19:05:57		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/19:05:58		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/19:05:58		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/21:31:27		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/21:31:27		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/21:31:28		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/21:31:28		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/21:31:29		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/21:31:29		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/21:31:30		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/21:31:31		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/21:31:31		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/21:47:52		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/21:47:53		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/21:47:53		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/21:47:54		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/21:47:54		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/21:47:54		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/21:47:55		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/21:47:56		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/21:47:56		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/22:02:48		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/22:02:49		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/22:02:49		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/22:02:50		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/22:02:50		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/22:02:50		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/22:02:51		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/22:02:52		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/22:02:52		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/22:06:22		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/22:06:23		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/22:06:23		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/22:06:24		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/22:06:24		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/22:06:24		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/22:06:25		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/22:06:26		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/22:06:26		wafer_29012020_050617.csv: File Transformed succesfully!!
2023-08-01/22:10:41		wafer_13012020_090817.csv: File Transformed succesfully!!
2023-08-01/22:10:42		wafer_16012020_051629.csv: File Transformed succesfully!!
2023-08-01/22:10:42		wafer_20022020_090716.csv: File Transformed succesfully!!
2023-08-01/22:10:42		wafer_21012020_080913.csv: File Transformed succesfully!!
2023-08-01/22:10:43		wafer_23012020_041211.csv: File Transformed succesfully!!
2023-08-01/22:10:43		wafer_27012020_080911.csv: File Transformed succesfully!!
2023-08-01/22:10:44		wafer_28012020_090817.csv: File Transformed succesfully!!
2023-08-01/22:10:45		wafer_28042020_031911.csv: File Transformed succesfully!!
2023-08-01/22:10:45		wafer_29012020_050617.csv: File Transformed succesfully!!
